id,redacted_text,redacted_cases,total_duration_seconds,created_at,model
165761,A student's assessment was found on device bearing IMEI: <PHONE_1>. The document falls under the various topics discussed in our Optimization curriculum. Can you please collect it?,"[{'text': '06-184755-866851-3', 'placeholder': '<PHONE_1>', 'type': 'phone', 'confidence': 0.99}]",3.69,2025-04-15T12:39:40.983406-07:00,redaction-model-fs:4b
165762,"Dear <NAME_1>, as per our records, your license <LICENSE_1> is still registered in our records for access to the educational tools. Please feedback on it's operability.","[{'text': 'Omer', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.98}, {'text': '78B5R2MVFAHJ48500', 'placeholder': '<LICENSE_1>', 'type': 'identification_number', 'confidence': 0.99}]",2.93,2025-04-15T12:39:43.930489-07:00,redaction-model-fs:4b
165763,Kattie could you please share your recomndations about vegetarian diet for <AGE_1> <RELATION_1> with <HEIGHT_1>?,"[{'text': '72 old', 'placeholder': '<AGE_1>', 'type': 'date', 'confidence': 0.97}, {'text': 'Intersex person', 'placeholder': '<RELATION_1>', 'type': 'personal_relation', 'confidence': 0.94}, {'text': '158centimeters', 'placeholder': '<HEIGHT_1>', 'type': 'height', 'confidence': 0.96}]",3.24,2025-04-15T12:39:47.185379-07:00,redaction-model-fs:4b
165764,Emergency supplies in <CITY_1> need a refill. Use <PHONE_1> to pay for them.,"[{'text': '16356', 'placeholder': '<CITY_1>', 'type': 'city', 'confidence': 0.97}, {'text': '5890724654311332', 'placeholder': '<PHONE_1>', 'type': 'phone', 'confidence': 0.98}]",2.75,2025-04-15T12:39:49.943591-07:00,redaction-model-fs:4b
165765,"The 88 old child at 5862, has showcased an unusual ability to remember and recite passwords, with Y2rWliOhf8Ir being most repeated.","[{'text': 'Y2rWliOhf8Ir', 'placeholder': '<PASSWORD_1>', 'type': 'password', 'confidence': 0.99}]",2.32,2025-04-15T12:39:52.277595-07:00,redaction-model-fs:4b
165766,Your recent hospital data recorded on <DATE_1> regarding chronic disease management has been encrypted with IPv6 <IP_ADDRESS_1> for enhanced privacy.,"[{'text': '29/12/1957', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.98}, {'text': 'edaf:fd8f:e1e8:cfec:8bab:1afd:6aad:550c', 'placeholder': '<IP_ADDRESS_1>', 'type': 'ip_address', 'confidence': 0.99}]",3.08,2025-04-15T12:39:55.372909-07:00,redaction-model-fs:4b
165767,"Dear Trans male, Let's clear this misunderstanding. We never send an email asking for <EMAIL_1>. If you get one, it's not from us. Please secure your account. If you already gave out your password, change it immediately.","[{'text': 'E5_N8G2xWM6D', 'placeholder': '<EMAIL_1>', 'type': 'email', 'confidence': 0.99}]",2.53,2025-04-15T12:39:57.911807-07:00,redaction-model-fs:4b
165768,"The wellness portal is accessible at [-71.6702,-107.6572]. With numerous wellness tracks suitable for everyone in the family, enrol now! Contact us at Mozilla/5.0 (Macintosh; PPC Mac OS X 10.7.5; rv:12.5) Gecko/20100101 Firefox/12.5.9 for further details.","[{'text': '[-71.6702,-107.6572]', 'placeholder': '<COORDINATE_1>', 'type': 'coordinates', 'confidence': 0.99}]",3.06,2025-04-15T12:40:00.975710-07:00,redaction-model-fs:4b
165769,"Carleton, the new interactive educational tools are set to arrive at <COORDINATE_1>,<COORDINATE_2>. Your password for accessing online content: <PASSWORD_1>.","[{'text': 'Carleton', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.97}, {'text': '[-38.9302,113.5422]', 'placeholder': '<COORDINATE_1>', 'type': 'coordinates', 'confidence': 0.99}, {'text': '[-38.9302,113.5422]', 'placeholder': '<COORDINATE_2>', 'type': 'coordinates', 'confidence': 0.99}, {'text': 'yZqd7gHyZq91', 'placeholder': '<PASSWORD_1>', 'type': 'password', 'confidence': 0.98}]",4.19,2025-04-15T12:40:05.177991-07:00,redaction-model-fs:4b
165770,"Customer query received at 10:18 PM from Human Group Coordinator of Cleveland based firm. The customer's email is <EMAIL_1>. Use our account number <ACCOUNT_1> for all financial exchanges. For personal discussions, ensure privacy with PIN - <PIN_1> and EYECOLOR - Eye color: Brown.","[{'text': 'Emilie_Beatty53@hotmail.com', 'placeholder': '<EMAIL_1>', 'type': 'email', 'confidence': 0.99}, {'text': '63652332', 'placeholder': '<ACCOUNT_1>', 'type': 'account_number', 'confidence': 0.98}, {'text': '8824', 'placeholder': '<PIN_1>', 'type': 'pin', 'confidence': 0.97}]",3.84,2025-04-15T12:40:09.029562-07:00,redaction-model-fs:4b
